state_1,price_1,load_1,month_1,year_1,coal_cost_1,CDD_1,HDD_1,date_1,state_2,price_2,load_2,month_2,year_2,coal_cost_2,CDD_2,HDD_2,date_2,ln_load_rel,ln_price_rel,ln_coal_rel,time_diff
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11970534069981584,1534.0,10,2014,31.472327226907048,0.0,577.0,10/2014,0.41927629009422845,-0.014459632797060648,0.25098760526945135,-39.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.1136595063763759,1765.0,11,2014,45.60927120205596,0.0,276.0,11/2014,0.2790043026540328,0.037366403271784705,-0.12001474742902488,-40.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11040285817478988,2293.0,1,2015,52.487724881153426,0.0,1549.0,1/2015,0.017293989163525623,0.0664375733745032,-0.2604830662117741,-42.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11552702558996124,2235.0,1,2016,53.80949158441207,0.0,1592.0,1/2016,0.04291376497376072,0.021069105763931385,-0.2853536108490132,-54.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11659635406587453,1911.0,2,2016,43.73572783217866,0.0,231.0,2/2016,0.19952832778115698,0.011855591451042442,-0.07806907434319878,-55.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.12242626599888703,1799.0,6,2016,37.72571143476676,107.0,6.0,6/2016,0.2599240380708969,-0.03693534240416152,0.0697544013407969,-59.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.1250095354336715,1508.0,10,2016,27.776718285147606,1.0,493.0,10/2016,0.4363707234535286,-0.057816421715459115,0.3758980661960863,-63.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11908325537885875,1733.0,11,2017,90.54256314312441,0.0,82.0,11/2017,0.29730098230582397,-0.009249277373674663,-0.8057237868580762,-76.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11677637695712004,1945.0,2,2018,38.83558332403585,0.0,526.0,2/2018,0.18189301596888324,0.010312798287813112,0.040759341926062335,-79.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.1181116996561658,1873.0,3,2018,32.98020630052969,0.0,131.0,3/2018,0.21961356957734138,-0.0010571878244210078,0.20418869182581728,-80.0
